title,address,description,date,seller,price,image
3 bedroom apartment for sale,"The Bank Tower 2, Sheepcote Street, Birmingham, B15","The Bank Tower 2 presents a range of luxurious one, two and three bedroom apartments in Birmingham´s tallest residential building. At over 100 metres in height, this 33 storey skyscraper offers unrivalled views across the city and its distinctive network of working canals.",27/07/2019,"Martin & Co, Birmingham City","£487,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166586/64004181/166586_100714011600_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"The Slieve, Birmingham, B20","THIS SPRAWLING UTOPIA IS NOW READY TO VIEW! TWO KITCHENS, FIVE BEDROOMS, TWO BATHROOMS AND A CINEMA - ALLOW YOURSELF TO FALL IN LOVE WITH HOME AGAIN ",13/07/2019,"Aston Bradley, Birmingham City Centre","£485,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207434/83246249/207434_200063_IMG_00_0000_max_476x317.jpg
2 bedroom apartment for sale,"Comet Works, Princip Street, Birmingham, B4","Comet Works is the latest quirky development by Javelin Block aimed more at the person who thinks outside of the box rather than wanting to live in one. This development of authentic lofts, apartments and mews houses is sat within the fabric of a range of historical buildings dating back from the...",23/09/2019,"Martin & Co, Birmingham City","£485,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166586/63228477/166586_100714011433_IMG_02_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Heeley Road, Selly Oak, Birmingham, West Midlands, B29","***CALLING ALL STUDENT INVESTORS*** Dixons are pleased to present this six bed property in the heart of the student triangle in Selly Oak. Briefly comprises two bedrooms on the ground floor, shower room along with a large kitchen/ lounge. Upstairs are a further four bedrooms and another one showe...",06/12/2019,"Dixons, Selly Oak","£485,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/33/87266972/33_SOA190422_IMG_01_0000_max_476x317.jpg
2 bedroom penthouse for sale,"Fleet Street, Birmingham, West Midlands, B3","2 bedroom apartment for sale in Birmingham City, B3 This canal-side duplex apartment in the popular Islington Gates development on Fleet Street is ideally situated for Birmingham's business district, city centre and Jewellery Quarter. Through the entrance door the hall opens to a glass block gl...",05/12/2019,"Knight Frank, Birmingham","£485,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/188k/187751/75993565/187751_BRM190181_IMG_01_0000_max_476x317.jpg
4 bedroom semi-detached house for sale,"Britwell Road, Sutton Coldfield",Situated close to Boldmere High Street and within easy reach of desirable schools this well proportioned and superbly presented semi detached property benefits from a wealth of sought after amenities including public transport links and shops. The accommodation on offer comprises separate recepti...,30/08/2019,"Paul Carr, Sutton Coldfield","£485,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49213/73032067/49213_9759971_IMG_01_0000_max_476x317.jpg
4 bedroom end of terrace house for sale,37 Christchurch Close,A large end terraced house tucked away in a quiet corner of this pleasant cul de sac off Augustus Road and in the heart of residential Edgbaston and on the renowned Calthorpe Estate. It is in need of some modernisation and refurbishment.,12/12/2019,"Robert Powell, Birmingham","£485,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17688/76120984/17688_101367007714_IMG_01_0000_max_476x317.jpg
4 bedroom semi-detached house for sale,"Britwell Road, Sutton Coldfield","WELL REGARDED RESIDENTIAL LOCATION - This immaculately presented semi detached house occupies a well regarded road and is conveniently situated for local amenities including the shops, bars and restaurants in Boldmere with public transport on hand including Wylde Green train station within walkin...",31/10/2019,"Green & Company, Boldmere","£485,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15200/86165438/15200_101995045208_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Pavenham Drive, Edgbaston","A modern four bedroom executive detached residence in need of some updating situated in this desirable location.
EPC BAND RATING D",08/08/2018,"Hadleigh, Harborne","£480,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6892/61559128/6892_27243276_IMG_23_0000_max_476x317.jpg
3 bedroom semi-detached house for sale,"Linden Road, Bournville, Birmingham",An immaculate traditional extended Bournville property OPPOSITE BOURNVILLE CRICKET GROUND AND PAVILION that has been lovingly improved by it's current owners. The property is in the catchment area for local schools including walking distance of Bournville Junior and Infants schools and Birmin...,08/11/2019,"Rice Chamberlains LLP, Bournville","£480,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22703/77155283/22703_6765505_IMG_07_0000_max_476x317.jpg
4 bedroom detached house for sale,"Braemar Road, Sutton Coldfield","Sitting within the desirable Boldmere location this delightful extended family home has been re-appointed throughout to offer an impressive, bright and spaciously presented residence. Being within a short walking distance of Boldmere centre with its wealth of shops, schools, arterial road and ra...",09/08/2019,"Paul Carr, Sutton Coldfield","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49213/73443787/49213_9257113_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"Royal Arch, Wharfside Street, B1 1RB","This spacious well-lit apartment boasts 3 large bedrooms and 2 bathrooms with additional WC located in the infamous Royal Arch development. It is located in the city centre in The Mailbox, and offers a dual aspect view allowing in plenty of light! This luxury apartment is finished to an extremely...",15/11/2019,"FleetMilne, Birmingham","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11021/83277170/11021_28934551_IMG_04_0000_max_476x317.jpg
6 bedroom detached house for sale,"Sandford Road, Moseley-LOVELY SIX BEDROOM DETACHED FAMILY HOME",*LOVELY SIX BEDROOM DETACHED FAMILY HOME!!** We are delighted to offer this six bedroom detached family home on the popular Sandford Road location in Moseley. Located giving good access to all of the nearby amenities and Moseley Village and excellent transport links into the City Centre and offer...,18/01/2019,"Rice Chamberlains LLP, Moseley","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/936/59619954/936_9329049_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Margaret Road, Harborne","A five bedroomed three storey Victorian terraced residence with gated off road parking. Within walking distance to Harborne High Street.
EPC BAND RATING G",03/06/2019,"Hadleigh, Harborne","£475,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/7k/6892/67072756/6892_28128289_IMG_13_0000_max_476x317.jpg
