title,address,description,date,seller,price,image
2 bedroom ground floor flat for sale,"Lovegrove, Slough","Spacious two-bedroom ground floor flat with allocated parking. Benefiting from a large reception, separate kitchen and family bathroom. Further attributes include secure entrance, communal gardens, double glazing and electrically powered heating.Within 1 mile of Burnham Station soon to be Crossra...",06/11/2019,"Langhams Estate Agents, Slough","£210,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25200/74241079/25200_9903894_IMG_02_0000_max_476x317.jpg
2 bedroom retirement property for sale,"Orchards Residential Park, Slough","This two double bedroom 'Alpine Lodge' park home is located in a quiet cul de sac and within walking distance to Langley Village and all major routes and amenities. This property benefits from a spacious lounge and dining area, fitted kitchen, double glazed and gas central heating. There ...",12/03/2019,"B Simmons & Son, Langley","£210,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107261/69966178/107261_9404174_IMG_10_0000_max_476x317.jpg
2 bedroom flat for sale,"Rutland Avenue, Slough, Berkshire","The Express Estate Agency is proud to offer this Two Bedroom Ground Floor Flat – all interest and OFFERS are INVITED. *Guide Price £210,000 - £230,000* INTERNAL: Reception Room - Ample space for a range of furniture. Kitchen - Fitted with a...",27/09/2019,"Express Estate Agency, Nationwide","£210,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61544/72512518/61544_4773780_IMG_01_0000_max_476x317.jpg
2 bedroom maisonette for sale,"Alpha Street South, Slough","PUBLIC NOTICE - We advise that an offer has been made for 46a Alpha Street, Slough, SL1 1QX in the sum of £211,000. Any person wishing to increase on this offer should notify Connells, 111 High Street Slough, SL1 1DH of their best offer prior to exchange of contracts.",04/09/2019,"Connells, Slough","£210,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1579/79178483/1579_SGH306484_IMG_02_0001_max_476x317.JPG
2 bedroom maisonette for sale,"Slough,Berkshire,SL1",Situated within 0.3 miles of Slough town centre and mainline station is this two bedroom ground floor maisonette. Benefits from private rear garden.,12/11/2019,"Chancellors, Slough","£210,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/84962699/145253_3196317_IMG_01_0000_max_476x317.jpg
1 bedroom ground floor flat for sale,"Central Slough, 0.1 Miles to Cross Rail Station",This bright and spacious Ground floor apartment is located 0.1 Miles to slough train station Built in 2015. Further benefits include Large Double Bedroom * Open plan kitchen / lounge * Modern bathroom * High quality flooring * 155 Year lease * With excellent transport facilities close by and Slou...,29/11/2018,"Glenn Flegg & Company, Langley","£210,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9217/76675004/9217_GFLSA_550150_IMG_01_0000_max_476x317.jpg
2 bedroom flat for sale,"Troutbeck Close, Slough","WALK TO TOWN CENTRE - NO ONWARD CHAIN This first floor two bedroom flat is located a short walk from slough town centre and is available with no onward chain. The property has many benefits including economy 7 heating, fitted kitchen, fully tiled bathroom, large living/dining room, comm...",21/11/2019,"B Simmons & Son, Slough","£210,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8328/84051161/8328_29025371_IMG_07_0000_max_476x317.jpg
1 bedroom flat for sale,"Masons Road, Slough, Berkshire. SL1","SPACIOUS 1 double bedroom apartment with potential to reconfigure to a 2 bedroom stpp. In a gated development, chain free & allocated parking. ",03/12/2019,"Castle Hill Properties, Ealing","£210,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84319/75973996/84319_PRA10940_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"High Street, Mosaic Apartments Slough SL1","Huge! One-bedroom apartment located in the much sought-after Mosaic building on Slough High Street in a Prime location in the heart of Slough town centre.Only 3 minutes walking distance from the Slough (Crossrail) train & Bus station, Tesco Xtra and Slough shopping centres.Located on the 6th floo...",24/10/2019,"Langhams Estate Agents, Slough","£205,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25200/73765237/25200_9590930_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Foundry Court, Mill Street, Slough, SL2 5FZ","FOUNDRY COURT, Mill Street. A Modern style 1 bedroom flat located right next to Slough BR Station with the benefit of allocated parking space. 1st floor. Briefly comprises entrance hallway, storage cupboard, family bathroom, double bedroom, spacious living room with French doors to balcony, kitc...",16/09/2019,"Hunters, Slough","£205,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77591/84807359/77591_SGHSP201342_IMG_01_0000_max_476x317.jpg
